Unnamed: 0,original,normalized,prediction
144,"Vn  nói "" hết giai Tao Đợi mày ơ Sân Bay""","Vn  nói "" hết giải Tao Đợi mày ở Sân Bay""","Vn nói "" hết giai Tao Đợi mày ở Sân Bay"""
145,chữa lành cho b lắm đúng k,chữa lành cho bạn lắm đúng không,chữa lành cho bạn lắm đúng không
146,khók trong nòng k lói ra mới xót xa,khóc trong lòng không nói ra mới xót xa,khóc trong lòng không lói ra mới xót xa
147,Ko ăn đc thì thôi bỏ đi đừng ăn thịt nữa,Không ăn được thì thôi bỏ đi đừng ăn thịt nữa,Không ăn được thì thôi bỏ đi đừng ăn thịt nữa
148,Bao giờ cho xã mê linh làm đc như thế nhỉ,Bao giờ cho xã mê linh làm được như thế nhỉ,Bao giờ cho xã mê linh làm được như thế nhỉ
149,"Đây có được coi là tính cách ""Hải Phòng là ko lòng vòng"" ko mọi người? :-))","Đây có được coi là tính cách ""Hải Phòng là không lòng vòng"" không mọi người? :-))","Đây có được coi là tính cách ""Hải Phòng là không lòng vòng"" không mọi người?)"
150,"không nhiều, nma tui cũng duy trì thói quen này được hơn 1 năm rùi á, bữa nhảy việc, stress quá quên mất khum thanh toán wifi, mẹ gọi lên hỏi mới biết mình nộp mỗi điện kk","không nhiều, nhưng mà tui cũng duy trì thói quen này được hơn 1 năm rồi á, bữa nhảy việc, stress quá quên mất không thanh toán wifi, mẹ gọi lên hỏi mới biết mình nộp mỗi điện kk","không nhiều, nhưng mà mà tui cũng duy trì thói quen này được hơn 1 năm rồi á, bữa nhảy việc, stress quá quên mất không thanh toán wifi, mẹ gọi lên hỏi mới biết mình nộp mỗi điện thoại"
151,Đây là con dâu cho bố mẹ chồng ra ở riêng chứ đâu phải vợ chồng con dâu ra oét riêng,Đây là con dâu cho bố mẹ chồng ra ở riêng chứ đâu phải vợ chồng con dâu ra ở riêng,Đây là con dâu cho bố mẹ chồng ra ở riêng chứ đâu phải vợ chồng con dâu ra ở riêng
152,tắt đt bà oi đt sập nguồn đoá,tắt điện thoại bà ơi điện thoại sập nguồn đó,tắt điện thoại bà ơi điện thoại sập nguồn đó
153,mua dề xoq mới nghĩ ra muốn ăn j,mua về xong mới nghĩ ra muốn ăn gì,mua về xong mới nghĩ ra muốn ăn gì
154,"Kể ra thì ngta dùng túi này đi siêu thị đựng đồ thay cho túi nilong hay mà nhỉ, mà túi này thì bền, sử dụng được lâu dài","Kể ra thì người ta dùng túi này đi siêu thị đựng đồ thay cho túi nilong hay mà nhỉ, mà túi này thì bền, sử dụng được lâu dài","Kể ra thì người ta dùng túi này đi siêu thị đựng đồ thay cho túi nilong hay mà nhỉ, mà túi này thì bền, sử dụng được lâu dài"
155,Mình gửi lại tiền thì anh kh nhận,Mình gửi lại tiền thì anh không nhận,Mình gửi lại tiền thì anh không nhận
156,"Bạn Yu Minh đâu rồi, đang nt vui mà","Bạn Yu Minh đâu rồi, đang nhắn tin vui mà","Bạn Yu Minh đâu rồi, đang nhắn tin vui mà"
157,Trong F04 sút từ giữa sân vào thì mấy thg mất não bảo rùa:)),Trong F04 sút từ giữa sân vào thì mấy thằng mất não bảo rùa:)),Trong F04 sút từ giữa sân vào thì mấy thằng mất não bảo rùa:))
158,Bt thế phải mua gấp đôi lên ko con nó đói lại còn hỏi nhiều,Biết thế phải mua gấp đôi lên không con nó đói lại còn hỏi nhiều,Bt thế phải mua gấp đôi lên không con nó đói lại còn hỏi nhiều
159,đọc này ik mắc cừi lắm,đọc này đi mắc cười lắm,đọc này đi mắc cười lắm
160,"đùa k vui, a đã căng","đùa không vui, anh đã căng","đùa không vui, anh đã căng"
161,À dị để tập làm mấy thằng khốn nạn,À vậy để tập làm mấy thằng khốn nạn,À vậy để tập làm mấy thằng khốn nạn
162,"Iu quá bác ôi, tui có tận 3 con cá heo bông lunnn =)))","yêu quá bác ôi, tui có tận 3 con cá heo bông luôn =)))","Yêu quá bác ơi, tui có tận 3 con cá heo bông luôn =)))"
163,Bị thao túng ròii 🫨,Bị thao túng rồi 🫨,Bị thao túng rồi
164,"Nghĩ mình mà đi hông chỉ mẹ mà gia đình bạn bè mình chắc hông trụ nổi, và mình còn nhìu thứ tươi đẹp chưa được trải nghiệm mà phải cùng những người mình yêu quý trải nghiệm chứ đúng hông","Nghĩ mình mà đi không chỉ mẹ mà gia đình bạn bè mình chắc không trụ nổi, và mình còn nhiều thứ tươi đẹp chưa được trải nghiệm mà phải cùng những người mình yêu quý trải nghiệm chứ đúng không","Nghĩ mình mà đi không chỉ mẹ mà gia đình bạn bè mình chắc không trụ nổi, và mình còn nhiều thứ tươi đẹp chưa được trải nghiệm mà phải cùng những người mình yêu quý trải nghiệm chứ đúng không"
165,Tới tuổi làm cha rồi mà còn nguu như chó nữa :)))) dắt tay thằng nhỏ cái bị tam tai ha gì mà hông dám dắt,Tới tuổi làm cha rồi mà còn ngu như chó nữa :)))) dắt tay thằng nhỏ cái bị tam tai hay gì mà không dám dắt,Tới tuổi làm cha rồi mà còn ngu như chó nữa) dắt tay thằng nhỏ cái bị tam tai ha gì mà không dám dắt
166,Nhìn là biết sau này đem lại hạnh ph cho vợ rồi nhm là hạnh phúc sau khi ly dị,Nhìn là biết sau này đem lại hạnh phúc cho vợ rồi nhưng mà là hạnh phúc sau khi ly dị,Nhìn là biết sau này đem lại hạnh phúc cho vợ rồi nhưng mà là hạnh phúc sau khi ly dị
167,xem t dắt m đi chơi nè  ,xem tao dắt mày đi chơi nè,xem tao dắt mày đi chơi nè
168,mình nghĩ là tuỳ quan điểm thui có ng thấy cuti có người thấy bị kiểm soát =))),mình nghĩ là tuỳ quan điểm thôi có người thấy cuti có người thấy bị kiểm soát =))),mình nghĩ là tuỳ quan điểm thôi có người thấy có người thấy bị kiểm soát =)))
169,Bình yên trc cơn bão à,Bình yên trước cơn bão à,Bình yên trước cơn bão à
170,"""Ko ấy thay t bằng con vịt được ko"" Gà said","""Không ấy thay tôi bằng con vịt được không"" Gà said","""Ko ấy thay tôi bằng con vịt được không"" Và said"
171,may quá chưa đi bv :)))),may quá chưa đi bệnh viện :)))),may quá chưa đi bệnh viện)
172,trung niên k dc sến sẩm à ,trung niên không được sến sẩm à,trung niên không được sến sẩm à
173,Có anh e còn ăn nữa là đồ ăn của con :)),Có anh em còn ăn nữa là đồ ăn của con :)),Có anh em còn ăn nữa là đồ ăn của con
174,"Chơi chung zdí thằng bạn gần chục năm , lỡ iu đương zdí nó được 1 tháng nghĩ chơi m* luôn","Chơi chung với thằng bạn gần chục năm , lỡ yêu đương với nó được 1 tháng nghỉ chơi mẹ luôn","Chơi chung với thằng bạn gần chục năm , lỡ yêu đương với nó được 1 tháng nghĩ chơi m* luôn"
175,Đây là cả cđm cùng ns cơ.,Đây là cả cộng đồng mạng cùng nói cơ.,Đây là cả gia đình cùng nói cơ.
176,Trường tôy cũng tăng nghỉ học lấy chồng thoai,Trường tôi cũng tăng nghỉ học lấy chồng thôi,Trường tôi cũng tăng nghỉ học lấy chồng thôi
177,này là thái tuế rồi chứ tam tai j nữa,này là thái tuế rồi chứ tam tai gì nữa,này là thái tử rồi chứ tâm tai gì nữa
178,"Mình nghĩ châp nhận vay thì châp nhân trả, chứ muốn vay xong , ko trả thì có thần thánh cũng phải nổi nóng, khi vay hay mua đồ trả góp thì nhân viên cũng tư vấn rõ ràng lãi suất, và mỗi tháng đóng bao nhiêu và đóng bao nhiêu tháng, và có giải thích rõ ràng là đóng trể hạn sẽ bị phạt , và nói rõ ràng khi chuyển qua nợ xâu là bên ngân hàng sẽ chuyển qua nợ quá bên thứ 3 để làm việc, trước kia mình cũng vay và nhân viên làm hồ sơ ký hợp đồng nói rõ ràng mình đồng ý thì mình ký hợp đồng và nhận tiền, chứ đâu ai kề dao vô cổ bắt mình ký mình vay đâu","Mình nghĩ chấp nhận vay thì chấp nhận trả, chứ muốn vay xong , không trả thì có thần thánh cũng phải nổi nóng, khi vay hay mua đồ trả góp thì nhân viên cũng tư vấn rõ ràng lãi suất, và mỗi tháng đóng bao nhiêu và đóng bao nhiêu tháng, và có giải thích rõ ràng là đóng trễ hạn sẽ bị phạt , và nói rõ ràng khi chuyển qua nợ xấu là bên ngân hàng sẽ chuyển qua nợ quá bên thứ 3 để làm việc, trước kia mình cũng vay và nhân viên làm hồ sơ ký hợp đồng nói rõ ràng mình đồng ý thì mình ký hợp đồng và nhận tiền, chứ đâu ai kề dao vô cổ bắt mình ký mình vay đâu","Mình nghĩ châp nhận vay thì châp nhận trả, chứ muốn vay xong , không trả thì có thần thánh cũng phải nổi nóng, khi vay hay mua đồ trả góp thì nhân viên cũng tư vấn rõ ràng lãi suất, và mỗi tháng đóng bao nhiêu và đóng bao nhiêu tháng, và có giải thích rõ ràng là đóng trễ hạn sẽ bị phạt , và nói rõ ràng khi chuyển qua nợ xâu là bên ngân hàng sẽ chuyển qua nợ quá bên thứ 3 để làm việc, trước kia mình cũng vay và nhân viên làm hồ sơ ký hợp đồng nói rõ ràng mình đồng ý thì mình ký"
179,Tôi phải bảo vệ nhan sắc ck tôi thôi,Tôi phải bảo vệ nhan sắc chồng tôi thôi,Tôi phải bảo vệ nhan sắc chồng tôi thôi
180,"Sếp tôi cũng lật mặt nhanh lắm, xong cái cho cả lũ kia nghỉ vì nói xấu cty :))","Sếp tôi cũng lật mặt nhanh lắm, xong cái cho cả lũ kia nghỉ vì nói xấu công ty :))","Sếp tôi cũng lật mặt nhanh lắm, xong cái cho cả lũ kia nghỉ vì nói xấu công ty"
181,Hông liên quan lắm nhưng bọt rửa bát bị dính lên áo anh zai kìa,Không liên quan lắm nhưng bọt rửa bát bị dính lên áo anh trai kìa,Hông liên quan lắm nhưng bọt rửa bát bị dính lên áo anh trai kìa
182,"uầy, sv giờ chất vãiiu","uầy, sinh viên giờ chất vãi","uầy, sv giờ chất vãi"
183,nhân văn quá nên là iu đương cho đỡ lão hóa khom bạn ơi cái gì vui thì mình ưu tiên xem nào,nhân văn quá nên là yêu đương cho đỡ lão hóa không bạn ơi cái gì vui thì mình ưu tiên xem nào,nhân văn quá nên là yêu đương cho đỡ lão hóa khom bạn ơi cái gì vui thì mình ưu tiên xem nào
184,mình chỉ iu mỗi mụt anh thui,mình chỉ yêu mỗi một anh thôi,mình chỉ yêu mỗi một anh thôi
185,chắc là chiếc tifu đáng iu nhất trong lịch sử  phải chuẩn bị tinh thần cho ngày mai rồi lol,chắc là chiếc tifu đáng yêu nhất trong lịch sử  phải chuẩn bị tinh thần cho ngày mai rồi lol,chắc là chiếc tifu đáng yêu nhất trong lịch sử phải chuẩn bị tinh thần cho ngày mai rồi lol
186,có khi nào bức starry night vẽ lúc có mây vầy k ta,có khi nào bức starry night vẽ lúc có mây vậy không ta,có khi nào bức starry night vẽ lúc có mây vầy không ta
187,áp dụngggg liền tr oiii,áp dụng liền trời ơi,áp dụng liền trời ơi
188,"Ủa sao dị bà, bữa t ko kiếm đc cái hồ đó nên khum bít","Ủa sao vậy bà, bữa tôi không kiếm được cái hồ đó nên không biết","Ủa sao vậy bà, bữa tôi không kiếm được cái hồ đó nên không bít"
189,"coi này mới thấy bên stage ctrinh nước ngoài đỉnh, sân khấu sáng, makeup các thứ với quay đẹp","coi này mới thấy bên stage chương trình nước ngoài đỉnh, sân khấu sáng, makeup các thứ với quay đẹp","coi này mới thấy bên stage ctrinh nước ngoài đỉnh, sân khấu sáng, makeup các thứ với quay đẹp"
190,Trùo này mà thiếu nha đầu ngốc là sai sót lớn đó :)))),Trò này mà thiếu nha đầu ngốc là sai sót lớn đó :)))),Trời này mà thiếu nhà đầu ngốc là sai sót lớn đó)
191,Má thì ra đó h xem sai cách =)))),Má thì ra đó giờ xem sai cách =)))),Má thì ra đó h xem sai cách =
192,"Có cơm ăn, nhà ở, dc đào tạo nghề, ko tốn tiền bạc mà dc thêm tiền án, quá hời","Có cơm ăn, nhà ở, được đào tạo nghề, không tốn tiền bạc mà được thêm tiền án, quá hời","Có cơm ăn, nhà ở, được đào tạo nghề, không tốn tiền bạc mà được thêm tiền án, quá hời"
193,sút quả fifa cũng ko sút dc như thế thì bắt kiểu j,sút quả fifa cũng không sút được như thế thì bắt kiểu gì,sút quả fifa cũng không sút được như thế thì bắt kiểu gì
194,"cô thu vé mắng tui nói tui muốn đi miễn phí nên mới đưa tờ tiền như z, tui mún khóc lun áaaa","cô thu vé mắng tui nói tui muốn đi miễn phí nên mới đưa tờ tiền như vậy, tui muốn khóc luôn á","cô thu vé mắng tui nói tui muốn đi miễn phí nên mới đưa tờ tiền như vậy, tui muốn khóc luôn á"
195,hông chừng ng iu còn học cấp ba nha,không chừng người yêu còn học cấp ba nha,hông chừng người yêu còn học cấp ba nha
196,A có nối vòng tay lớn trong phi vụ này ko a try,Anh có nối vòng tay lớn trong phi vụ này không a trai,Anh có nối vòng tay lớn trong phi vụ này không anh try
197,chị bảo anh Hoàng sắm cho con đi dẫn đi v nè,chị bảo anh Hoàng sắm cho con đi dẫn đi vậy nè,chị bảo anh Hoàng sắm cho con đi dẫn đi vậy nè
198,nhìn cái hình r si nghĩ có đi hay hong :))),nhìn cái hình rồi suy nghĩ có đi hay không :))),nhìn cái hình rồi si nghĩ có đi hay không
199,điều tôi muốn biết bh là tk cc kia nó có bị xích chưa,điều tôi muốn biết bây giờ là thằng con cặc kia nó có bị xích chưa,điều tôi muốn biết bây giờ là thằng chồng cũ kia nó có bị xích chưa
200,ấn độ chưa bao h lm t thất vọng,ấn độ chưa bao giờ làm tôi thất vọng,ấn độ chưa bao giờ làm tôi thất vọng
201,"mình mới 22 tuổi này, đang nghiêm túc học hành để có việc làm ổn định trong năm nay, đặt mục tiêu rõ ràng cho gđ thấy, vậy mà họ hàng có người muốn giới thiệu là sẽ liên tục ép mình dành thời gian tìm hiểu các kiểu","mình mới 22 tuổi này, đang nghiêm túc học hành để có việc làm ổn định trong năm nay, đặt mục tiêu rõ ràng cho gia đình thấy, vậy mà họ hàng có người muốn giới thiệu là sẽ liên tục ép mình dành thời gian tìm hiểu các kiểu","mình mới 22 tuổi này, đang nghiêm túc học hành để có việc làm ổn định trong năm nay, đặt mục tiêu rõ ràng cho gia đình thấy, vậy mà họ hàng có người muốn giới thiệu là sẽ liên tục ép mình dành thời gian tìm hiểu các kiểu"
